[2023-01-14 13:05:37] No settings files found: /home/toki/servers/mindustry/config/settings.bin and /home/toki/servers/mindustry/config/settings_backup.bin
[2023-01-14 18:50:13] Saving 2 values; 44 bytes
[2023-01-14 18:51:13] Saving 2 values; 44 bytes
[2023-01-14 18:52:13] Saving 2 values; 44 bytes
[2023-01-14 18:53:13] Saving 2 values; 44 bytes
[2023-01-14 18:54:13] Saving 2 values; 44 bytes
[2023-01-14 18:55:13] Saving 2 values; 44 bytes
[2023-01-14 18:56:13] Saving 2 values; 44 bytes
[2023-01-14 18:57:13] Saving 2 values; 44 bytes
[2023-01-14 18:58:13] Saving 2 values; 44 bytes
[2023-01-14 18:59:13] Saving 2 values; 44 bytes
[2023-01-14 19:00:13] Saving 2 values; 44 bytes
[2023-01-14 19:01:13] Saving 2 values; 44 bytes
[2023-01-14 19:02:13] Saving 2 values; 44 bytes
[2023-01-14 19:03:13] Saving 2 values; 44 bytes
[2023-01-14 19:04:13] Saving 2 values; 44 bytes
[2023-01-14 19:05:13] Saving 2 values; 44 bytes
[2023-01-14 19:06:13] Saving 2 values; 44 bytes
[2023-01-14 19:07:13] Saving 2 values; 44 bytes
[2023-01-14 19:08:13] Saving 2 values; 44 bytes
[2023-01-14 19:09:13] Saving 2 values; 44 bytes
[2023-01-14 19:10:13] Saving 2 values; 44 bytes
[2023-01-14 19:11:13] Saving 2 values; 44 bytes
[2023-01-14 19:12:13] Saving 2 values; 44 bytes
[2023-01-14 19:13:13] Saving 2 values; 44 bytes
[2023-01-14 19:14:13] Saving 2 values; 44 bytes
[2023-01-14 19:15:13] Saving 2 values; 44 bytes
[2023-01-14 19:16:13] Saving 2 values; 44 bytes
[2023-01-14 19:17:13] Saving 2 values; 44 bytes
[2023-01-14 19:18:13] Saving 2 values; 44 bytes
[2023-01-14 19:19:13] Saving 2 values; 44 bytes
[2023-01-14 19:20:13] Saving 2 values; 44 bytes
[2023-01-14 19:21:13] Saving 2 values; 44 bytes
[2023-01-14 19:22:13] Saving 2 values; 44 bytes
[2023-01-14 19:23:13] Saving 2 values; 44 bytes
[2023-01-14 19:24:13] Saving 2 values; 44 bytes
[2023-01-14 19:25:13] Saving 2 values; 44 bytes
[2023-01-14 19:26:13] Saving 2 values; 44 bytes
[2023-01-14 19:27:13] Saving 2 values; 44 bytes
[2023-01-14 19:28:13] Saving 2 values; 44 bytes
[2023-01-14 19:29:13] Saving 2 values; 44 bytes
[2023-01-14 19:30:13] Saving 2 values; 44 bytes
[2023-01-14 19:31:13] Saving 2 values; 44 bytes
[2023-01-14 19:32:13] Saving 2 values; 44 bytes
[2023-01-14 19:33:13] Saving 2 values; 44 bytes
[2023-01-14 19:34:13] Saving 2 values; 44 bytes
[2023-01-14 19:35:13] Saving 2 values; 44 bytes
[2023-01-14 19:36:13] Saving 2 values; 44 bytes
[2023-01-14 19:37:13] Saving 2 values; 44 bytes
[2023-01-14 19:38:13] Saving 2 values; 44 bytes
[2023-01-14 19:39:13] Saving 2 values; 44 bytes
[2023-01-14 19:40:13] Saving 2 values; 44 bytes
[2023-01-14 19:41:13] Saving 2 values; 44 bytes
[2023-01-14 19:42:13] Saving 2 values; 44 bytes
[2023-01-14 19:43:13] Saving 2 values; 44 bytes
[2023-01-14 19:44:13] Saving 2 values; 44 bytes
[2023-01-14 19:45:13] Saving 2 values; 44 bytes
[2023-01-14 19:46:13] Saving 2 values; 44 bytes
[2023-01-14 19:47:13] Saving 2 values; 44 bytes
[2023-01-14 19:48:13] Saving 2 values; 44 bytes
[2023-01-14 19:49:13] Saving 2 values; 44 bytes
[2023-01-14 19:50:13] Saving 2 values; 44 bytes
[2023-01-14 19:51:13] Saving 2 values; 44 bytes
[2023-01-14 19:52:13] Saving 2 values; 44 bytes
[2023-01-14 19:53:13] Saving 2 values; 44 bytes
[2023-01-14 19:54:13] Saving 2 values; 44 bytes
[2023-01-14 19:55:13] Saving 2 values; 44 bytes
[2023-01-14 19:56:13] Saving 2 values; 44 bytes
[2023-01-14 19:57:13] Saving 2 values; 44 bytes
[2023-01-14 19:58:13] Saving 2 values; 44 bytes
[2023-01-14 19:59:13] Saving 2 values; 44 bytes
[2023-01-14 20:00:13] Saving 2 values; 44 bytes
[2023-01-14 20:01:13] Saving 2 values; 44 bytes
[2023-01-14 20:02:13] Saving 2 values; 44 bytes
[2023-01-14 20:03:13] Saving 2 values; 44 bytes
[2023-01-14 20:04:13] Saving 2 values; 44 bytes
[2023-01-14 20:05:13] Saving 2 values; 44 bytes
[2023-01-14 20:06:13] Saving 2 values; 44 bytes
[2023-01-14 20:07:13] Saving 2 values; 44 bytes
[2023-01-14 20:08:13] Saving 2 values; 44 bytes
[2023-01-14 20:09:13] Saving 2 values; 44 bytes
[2023-01-14 20:10:13] Saving 2 values; 44 bytes
[2023-01-14 20:11:13] Saving 2 values; 44 bytes
[2023-01-14 20:12:13] Saving 2 values; 44 bytes
[2023-01-14 20:13:13] Saving 2 values; 44 bytes
[2023-01-14 20:14:13] Saving 2 values; 44 bytes
[2023-01-14 20:15:13] Saving 2 values; 44 bytes
[2023-01-14 20:16:13] Saving 2 values; 44 bytes
[2023-01-14 20:17:13] Saving 2 values; 44 bytes
[2023-01-14 20:18:13] Saving 2 values; 44 bytes
[2023-01-14 20:19:13] Saving 2 values; 44 bytes
[2023-01-14 20:20:13] Saving 2 values; 44 bytes
[2023-01-14 20:21:13] Saving 2 values; 44 bytes
[2023-01-14 20:22:13] Saving 2 values; 44 bytes
[2023-01-14 20:23:13] Saving 2 values; 44 bytes
[2023-01-14 20:24:13] Saving 2 values; 44 bytes
[2023-01-14 20:25:13] Saving 2 values; 44 bytes
[2023-01-14 20:26:13] Saving 2 values; 44 bytes
[2023-01-14 20:27:13] Saving 2 values; 44 bytes
[2023-01-14 20:28:13] Saving 2 values; 44 bytes
[2023-01-14 20:29:13] Saving 2 values; 44 bytes
[2023-01-14 20:30:13] Saving 2 values; 44 bytes
[2023-01-14 20:31:13] Saving 2 values; 44 bytes
[2023-01-14 20:32:13] Saving 2 values; 44 bytes
[2023-01-14 20:33:13] Saving 2 values; 44 bytes
[2023-01-14 20:34:13] Saving 2 values; 44 bytes
[2023-01-14 20:35:13] Saving 2 values; 44 bytes
[2023-01-14 20:36:13] Saving 2 values; 44 bytes
[2023-01-14 20:37:13] Saving 2 values; 44 bytes
[2023-01-14 20:38:13] Saving 2 values; 44 bytes
[2023-01-14 20:39:13] Saving 2 values; 44 bytes
[2023-01-14 20:40:13] Saving 2 values; 44 bytes
[2023-01-14 20:41:13] Saving 2 values; 44 bytes
[2023-01-14 20:42:13] Saving 2 values; 44 bytes
[2023-01-14 20:43:13] Saving 2 values; 44 bytes
[2023-01-14 20:44:13] Saving 2 values; 44 bytes
[2023-01-14 20:45:13] Saving 2 values; 44 bytes
[2023-01-14 20:46:13] Saving 2 values; 44 bytes
[2023-01-14 20:47:13] Saving 2 values; 44 bytes
[2023-01-14 20:48:13] Saving 2 values; 44 bytes
[2023-01-14 20:49:13] Saving 2 values; 44 bytes
[2023-01-14 20:50:13] Saving 2 values; 44 bytes
[2023-01-14 20:51:13] Saving 2 values; 44 bytes
[2023-01-14 20:52:13] Saving 2 values; 44 bytes
[2023-01-14 20:53:13] Saving 2 values; 44 bytes
[2023-01-14 20:54:13] Saving 2 values; 44 bytes
